lbskecamatan banda mulia, aceh, Indonesia
lawe mengkudu, aceh, Indonesia
lawe sembekan, aceh, Indonesia
leuser, aceh, Indonesia
penungkunen, aceh, Indonesia
penyeberangan cingkam, aceh, Indonesia
rumah bundar, aceh, Indonesia
simpang tiga jongar, aceh, Indonesia
simpur jaya, aceh, Indonesia
suka rimbun, aceh, Indonesia
lbskecamatan lawe alas, aceh, Indonesia
kabupaten aceh tenggara, aceh, Indonesia
acehgampong, aceh, Indonesia
alur langsat, aceh, Indonesia
batu hamparan, aceh, Indonesia
darul amin, aceh, Indonesia
ngkeren, aceh, Indonesia
kubu, aceh, Indonesia
kuta batu baru, aceh, Indonesia
kuta batu i, aceh, Indonesia
kuta batu ii, aceh, Indonesia
kuta cingkam i, aceh, Indonesia
kuta cingkam ii, aceh, Indonesia
lawe kongker, aceh, Indonesia
lawe lumbang indah, aceh, Indonesia
lawe sempilang, aceh, Indonesia
lawe tungkal, aceh, Indonesia
muara baru, aceh, Indonesia
pasir bangun, aceh, Indonesia
paye munje, aceh, Indonesia
perapat batu nunggul, aceh, Indonesia
pulo sepang, aceh, Indonesia
rambah sayang, aceh, Indonesia
rih mebelang, aceh, Indonesia
rumah kampung, aceh, Indonesia
rumah luar, aceh, Indonesia
lbskecamatan lawe bulan, aceh, Indonesia
kabupaten aceh tenggara, aceh, Indonesia
acehgampong, aceh, Indonesia
bahagia, aceh, Indonesia
bunga melur gabungan, aceh, Indonesia
kampung nangka gabungan, aceh, Indonesia
kandang belang mandiri, aceh, Indonesia
kuta bantil gabungan, aceh, Indonesia
kuta buluh butong, aceh, Indonesia
kuta galuh asli, aceh, Indonesia
kuta genting, aceh, Indonesia
kutambaru, aceh, Indonesia
kutambaru bencawan, aceh, Indonesia
lawe kinge, aceh, Indonesia
lawe kolok gabungan, aceh, Indonesia
lawe pangkat, aceh, Indonesia
lawe rutung, aceh, Indonesia
lawe sagu, aceh, Indonesia
lawe sagu baru, aceh, Indonesia
lawe sagu hilir, aceh, Indonesia
lawe sagu hulu, aceh, Indonesia
mbacang racun, aceh, Indonesia
pasir gala gabungan, aceh, Indonesia
pasir penjengakan, aceh, Indonesia
penampaan, aceh, Indonesia
pekhapat timur, aceh, Indonesia
perapat timur, aceh, Indonesia
pulo samupin, aceh, Indonesia
pulonas baru, aceh, Indonesia
simpang empat, aceh, Indonesia
telaga mekar, aceh, Indonesia
tenembak juhar, aceh, Indonesia
tenembak lang-lang, aceh, Indonesia
terutung mbelang, aceh, Indonesia
tualang lama, aceh, Indonesia
lbskecamatan lawe sigala-gala, aceh, Indonesia
kabupaten aceh tenggara, aceh, Indonesia
acehkelurahan, aceh, Indonesia
lawe sigala barat, aceh, Indonesia
suka jaya, aceh, Indonesia
gampong, aceh, Indonesia
bukit merdeka, aceh, Indonesia
bukit sepakat, aceh, Indonesia
darul aman, aceh, Indonesia
enmya batu dua ratus, aceh, Indonesia
gabungan parsaoran, aceh, Indonesia
gaya jaya, aceh, Indonesia
kedataran gabungan, aceh, Indonesia
kuta tengah, aceh, Indonesia
lawe buyur, aceh, Indonesia
lawe kesumpat, aceh, Indonesia
lawe loning aman, aceh, Indonesia
lawe loning gabungan, aceh, Indonesia
lawe loning i, aceh, Indonesia
lawe loning sepakat, aceh, Indonesia
lawe rakat, aceh, Indonesia
lawe serke, aceh, Indonesia
lawe sigala barat jaya, aceh, Indonesia
lawe sigala ii, aceh, Indonesia
lawe sigala timur, aceh, Indonesia
lawe tua gabungan, aceh, Indonesia
lawe tua makmur, aceh, Indonesia
lawe tua persatuan, aceh, Indonesia
sebungke, aceh, Indonesia
suka damai, aceh, Indonesia
suka maju, aceh, Indonesia
tanah baru, aceh, Indonesia
lbskecamatan lawe sumur, aceh, Indonesia
kabupaten aceh tenggara, aceh, Indonesia
acehgampong, aceh, Indonesia
berandang, aceh, Indonesia
buah pala, aceh, Indonesia
kisam gabungan, aceh, Indonesia
kisam kute pasir, aceh, Indonesia
kisam kute rambe, aceh, Indonesia
kisam lestari, aceh, Indonesia
kute bunin, aceh, Indonesia
kute lesung, aceh, Indonesia
lawe sumur, aceh, Indonesia
lawe sumur baru, aceh, Indonesia
lawe pasaran tengku mbelin, aceh, Indonesia
lawe polak, aceh, Indonesia
lawes sumur sepakat, aceh, Indonesia
panosan, aceh, Indonesia
setia baru, aceh, Indonesia
teger miko, aceh, Indonesia
terutung megahke mbakhu, aceh, Indonesia
terutung megara lawe pasaran, aceh, Indonesia
lbskecamatan leuser, aceh, Indonesia
kabupaten aceh tenggara, aceh, Indonesia
acehgampong, aceh, Indonesia
akhih majile, aceh, Indonesia
bintang alga musara, aceh, Indonesia
bintang bukit indah, aceh, Indonesia
bukit meriah, aceh, Indonesia
bun-bun alas, aceh, Indonesia
bunbun indah, aceh, Indonesia
gaye sendah, aceh, Indonesia
gunung pak-pak, aceh, Indonesia
kane mende, aceh, Indonesia
kompas, aceh, Indonesia
kute hakhapen, aceh, Indonesia
laut tawar, aceh, Indonesia
lawe sekhakut, aceh, Indonesia
naga timbul, aceh, Indonesia
permata musara, aceh, Indonesia
punce nali, aceh, Indonesia
sade ate, aceh, Indonesia
sepakat, aceh, Indonesia
suka damai, aceh, Indonesia
tanjung sari, aceh, Indonesia
tuah kekhine, aceh, Indonesia
tunas mude, aceh, Indonesia
ukhat peseluk, aceh, Indonesia
lbskecamatan semadam, aceh, Indonesia
kabupaten aceh tenggara, aceh, Indonesia
acehgampong, aceh, Indonesia
alur buluh, aceh, Indonesia
kebun sere, aceh, Indonesia
kampung baru, aceh, Indonesia
lawe beringin gayo, aceh, Indonesia
lawe beringin horas, aceh, Indonesia
lawe mejile, aceh, Indonesia
lawe kinga gabungan, aceh, Indonesia
lawe kinga tinggi, aceh, Indonesia
lawe kinge lapter, aceh, Indonesia
lawe petanduk, aceh, Indonesia
lawe petanduk-ii, aceh, Indonesia
pasar puntung, aceh, Indonesia
selamat indah, aceh, Indonesia
semadam awal, aceh, Indonesia
semadam asal, aceh, Indonesia
sepakat segenep, aceh, Indonesia
simpang semadam, aceh, Indonesia
suka makmur, aceh, Indonesia
titi pasir, aceh, Indonesia
lbskecamatan tanoh alas, aceh, Indonesia
kabupaten aceh tenggara, aceh, Indonesia
acehgampong, aceh, Indonesia
alur langsat, aceh, Indonesia
alur nangke, aceh, Indonesia
jambur damar, aceh, Indonesia
jambukh pekhmate, aceh, Indonesia
khutung mbelang, aceh, Indonesia
kute mejile, aceh, Indonesia
lawe tungkal, aceh, Indonesia
rambah sayang, aceh, Indonesia
rumah luar, aceh, Indonesia
salim pinim i, aceh, Indonesia
salim pinim ii, aceh, Indonesia
stambul jaya, aceh, Indonesia
timang rasa, aceh, Indonesia
tenembak alas, aceh, Indonesia
lbskecamatan banda alam, aceh, Indonesia
kabupaten aceh timur, aceh, Indonesia
acehgampong, aceh, Indonesia
blang rambong, aceh, Indonesia
buket drien, aceh, Indonesia
jalan dua, aceh, Indonesia
jambo reuhat, aceh, Indonesia
panton rayeuk awe, aceh, Indonesia
panton rayeuk batee, aceh, Indonesia
panton rayeuk mameh, aceh, Indonesia
panton rayeuk teungoh, aceh, Indonesia
paya laman, aceh, Indonesia
seuneubok bayu, aceh, Indonesia
seuneubok benteng, aceh, Indonesia
seuneubok kandang, aceh, Indonesia
seuneubok pangeu, aceh, Indonesia
seuneubok simpang, aceh, Indonesia
ulee jalan, aceh, Indonesia
uram jalan, aceh, Indonesia
lbskecamatan birem bayeun, aceh, Indonesia
kabupaten aceh timur, aceh, Indonesia
acehkelurahan, aceh, Indonesia
paya rambong, aceh, Indonesia
gampong, aceh, Indonesia
afdeling ii buket, aceh, Indonesia
alue baloh, aceh, Indonesia
alue canang, aceh, Indonesia
alue drien, aceh, Indonesia
alue gadeng, aceh, Indonesia
alue gadeng dua, aceh, Indonesia
alue gadeng satu, aceh, Indonesia
alue sentang, aceh, Indonesia
alue teh, aceh, Indonesia
aramiyah, aceh, Indonesia
bayeun, aceh, Indonesia
benteng, aceh, Indonesia
birem rayeuk, aceh, Indonesia
blang tualang, aceh, Indonesia
buket tiga, aceh, Indonesia
bukit seulemak, aceh, Indonesia
jambo labu, aceh, Indonesia
kemuning hulu, aceh, Indonesia
keude birem, aceh, Indonesia
merbau ii, aceh, Indonesia
paya bili i, aceh, Indonesia
paya bili ii, aceh, Indonesia
paya peulawi, aceh, Indonesia
paya tampah, aceh, Indonesia
peutow, aceh, Indonesia
lbskecamatan darul aman, aceh, Indonesia
kabupaten aceh timur, aceh, Indonesia
acehkelurahan, aceh, Indonesia
kampung keude, aceh, Indonesia
keude idi cut, aceh, Indonesia
gampong, aceh, Indonesia
alue dalam, aceh, Indonesia
alue gadeng, aceh, Indonesia
alur lhok, aceh, Indonesia
alur ludin i, aceh, Indonesia
alur ludin ii, aceh, Indonesia
alur merbo, aceh, Indonesia
bagok panah iii, aceh, Indonesia
bagok panah iv, aceh, Indonesia
blang buket, aceh, Indonesia
buket kulam, aceh, Indonesia
buket raya, aceh, Indonesia
buket rumiya, aceh, Indonesia
buket tualang, aceh, Indonesia
dama polo ii, aceh, Indonesia
dama pulo i, aceh, Indonesia
gaseh sayang, aceh, Indonesia
grong-grong, aceh, Indonesia
jungka gajah, aceh, Indonesia
kampung baro, aceh, Indonesia
kampung beunot, aceh, Indonesia
kapai baroh, aceh, Indonesia
kemuning i, aceh, Indonesia
kemuning ii, aceh, Indonesia
kemuning iii, aceh, Indonesia
kemuning iv, aceh, Indonesia
kemuning v, aceh, Indonesia
kuala idi cut, aceh, Indonesia
lhok geulumpang, aceh, Indonesia
matang geutou, aceh, Indonesia
matang pineung, aceh, Indonesia
meunasah blang, aceh, Indonesia
meunasah keutapang, aceh, Indonesia
pagok panah i, aceh, Indonesia
pagok panah ii, aceh, Indonesia
seuneubok aceh, aceh, Indonesia
seuneubok baroh, aceh, Indonesia
seuneubok buloh, aceh, Indonesia
seuneubok simpang, aceh, Indonesia
seuneubok teungoh, aceh, Indonesia
seuneubok tuha i, aceh, Indonesia
seuneubok tuha ii, aceh, Indonesia
teupin drum, aceh, Indonesia
trieng gadeng, aceh, Indonesia
lbskecamatan darul falah, aceh, Indonesia
kabupaten aceh timur, aceh, Indonesia
acehgampong, aceh, Indonesia
alue siwah, aceh, Indonesia
buket teumpeun, aceh, Indonesia
buket tufah, aceh, Indonesia
cempeudak, aceh, Indonesia
keude blang, aceh, Indonesia
keudondong, aceh, Indonesia
paya kruep, aceh, Indonesia
seuneubok panton, aceh, Indonesia
tunong bugeng, aceh, Indonesia
tunong paya kruep, aceh, Indonesia
tunong ulee gajah, aceh, Indonesia
lbskecamatan darul ihsan, aceh, Indonesia
kabupaten aceh timur, aceh, Indonesia
acehgampong, aceh, Indonesia
alue jagat, aceh, Indonesia
buket peulawi, aceh, Indonesia
gunong putoh, aceh, Indonesia
keude dua, aceh, Indonesia
lhok dalam, aceh, Indonesia
lhok leumak, aceh, Indonesia
lhok meureu, aceh, Indonesia
lhok panjou, aceh, Indonesia
medang ara, aceh, Indonesia
meunasah aron, aceh, Indonesia
panton meureubo, aceh, Indonesia
pulo blang, aceh, Indonesia
seuneubok aceh baro, aceh, Indonesia
seuneubok kulam, aceh, Indonesia
seuneubok lapang, aceh, Indonesia
seuneubok teungoh, aceh, Indonesia
lbskecamatan idi rayeuk, aceh, Indonesia
kabupaten aceh timur, aceh, Indonesia
acehkelurahan, aceh, Indonesia
blang geulumpang, aceh, Indonesia
kampung jawa, aceh, Indonesia
keude blang, aceh, Indonesia
tanoh anou, aceh, Indonesia
gampong, aceh, Indonesia
alue dua muka o, aceh, Indonesia
alue dua muka s, aceh, Indonesia
bantayan timur, aceh, Indonesia
buket jok, aceh, Indonesia
buket juara, aceh, Indonesia
buket langa, aceh, Indonesia
buket meulinteung, aceh, Indonesia
buket pala, aceh, Indonesia
dama pulo, aceh, Indonesia
gampong aceh, aceh, Indonesia
gampong jalan, aceh, Indonesia
gureb blang, aceh, Indonesia
kampung blang, aceh, Indonesia
kampung jalan, aceh, Indonesia
kampung tanjong, aceh, Indonesia
ketapang dua, aceh, Indonesia
keude aceh, aceh, Indonesia
keutapang mameh, aceh, Indonesia
kuala padang puntong, aceh, Indonesia
lhok asahan, aceh, Indonesia
matang bungong, aceh, Indonesia
matang rayeuk (pr), aceh, Indonesia
matang rayeuk (smk), aceh, Indonesia
meunasah jeumpa, aceh, Indonesia
meunasah puuk, aceh, Indonesia
sam pai mah, aceh, Indonesia
seuneubok bacee, aceh, Indonesia
seuneubok barat, aceh, Indonesia
seuneubok dalam (smk), aceh, Indonesia
seuneubok rambong, aceh, Indonesia
seuneubok teungoh (pr), aceh, Indonesia
seuneubok teungoh (smk), aceh, Indonesia
seuneubok tutong, aceh, Indonesia
tanjong kapai, aceh, Indonesia
teupin batee, aceh, Indonesia
titi baro, aceh, Indonesia
tualang dalam, aceh, Indonesia
ulee blang, aceh, Indonesia
ulee gle, aceh, Indonesia
lbskecamatan idi timur, aceh, Indonesia
kabupaten aceh timur, aceh, Indonesia
acehgampong, aceh, Indonesia
keutapang dua, aceh, Indonesia
lhok asahan, aceh, Indonesia
matang bungong, aceh, Indonesia
matang rayeuk pp, aceh, Indonesia
matang rayeuk smk, aceh, Indonesia
meunasah jeumpa, aceh, Indonesia
seuneubok barat, aceh, Indonesia
seuneubok dalam, aceh, Indonesia
seuneubok kuyun, aceh, Indonesia
seuneubok teungoh, aceh, Indonesia
seuneubok timur, aceh, Indonesia
tualang dalam, aceh, Indonesia
ulee glee, aceh, Indonesia
lbskecamatan idi tunong, aceh, Indonesia
kabupaten aceh timur, aceh, Indonesia
acehgampong, aceh, Indonesia
alue kumbang a, aceh, Indonesia
alue kumbang m, aceh, Indonesia
alue lhok, aceh, Indonesia
bantayan barat, aceh, Indonesia
blang minjei, aceh, Indonesia
blang seguci, aceh, Indonesia
buket puuk, aceh, Indonesia
buket rumiya, aceh, Indonesia
buket teukuh, aceh, Indonesia
keude keumuning, aceh, Indonesia
keumuning lhok, aceh, Indonesia
padang kasah, aceh, Indonesia
paya awe, aceh, Indonesia
paya gaboh, aceh, Indonesia
seuneubok baro, aceh, Indonesia
seuneubok buloh, aceh, Indonesia
seuneubok buya, aceh, Indonesia
seuneubok dalam, aceh, Indonesia
seuneubok drien, aceh, Indonesia
seuneubok jalan, aceh, Indonesia
seuneubok meurudu, aceh, Indonesia
seuneubok punti, aceh, Indonesia
seuneubok teupin panah, aceh, Indonesia
teupin panah, aceh, Indonesia
lbskecamatan indra makmur, aceh, Indonesia
kabupaten aceh timur, aceh, Indonesia
acehgampong, aceh, Indonesia
alue ie itam, aceh, Indonesia
alue patong, aceh, Indonesia
bandar baro, aceh, Indonesia
blang nisam, aceh, Indonesia
seuneubok bayu, aceh, Indonesia
lbskecamatan julok, aceh, Indonesia
kabupaten aceh timur, aceh, Indonesia
acehkelurahan, aceh, Indonesia
keude kuta binjei, aceh, Indonesia
gampong, aceh, Indonesia
blang gleum, aceh, Indonesia
blang jambee, aceh, Indonesia
blang keumuhang, aceh, Indonesia
blang mideun, aceh, Indonesia
blang paoh dua, aceh, Indonesia
blang paoh satu, aceh, Indonesia
blang uyok, aceh, Indonesia
buket panyang, aceh, Indonesia
buket seraja, aceh, Indonesia
bukit makmur, aceh, Indonesia
gampong baru, aceh, Indonesia
julok tunong, aceh, Indonesia
keumuneng, aceh, Indonesia
kuala geulumpang, aceh, Indonesia
labohan, aceh, Indonesia
ladang baro, aceh, Indonesia
lhok rambong, aceh, Indonesia
mane rampak, aceh, Indonesia
matang, aceh, Indonesia
naleung, aceh, Indonesia
paya bakong, aceh, Indonesia
paya pasi, aceh, Indonesia
seumatang, aceh, Indonesia
seuneubok baro, aceh, Indonesia
tanjong tok blang, aceh, Indonesia
teupin raya, aceh, Indonesia
tumpok teungoh, aceh, Indonesia
ujong tunong, aceh, Indonesia
ulee ateung, aceh, Indonesia
ulee blang, aceh, Indonesia
ulee tanoh, aceh, Indonesia
lbskecamatan madat, aceh, Indonesia
kabupaten aceh timur, aceh, Indonesia
acehgampong, aceh, Indonesia
abeuk geulanteu, aceh, Indonesia
bintah, aceh, Indonesia
blang andam, aceh, Indonesia
blang awe, aceh, Indonesia
blang ubit, aceh, Indonesia
lueng dua, aceh, Indonesia
lueng peut, aceh, Indonesia
lueng satu, aceh, Indonesia
madat, aceh, Indonesia
matang jrok, aceh, Indonesia
matang keupula dua, aceh, Indonesia
matang keupula lhee, aceh, Indonesia
matang keupula satu, aceh, Indonesia
matang nibong, aceh, Indonesia
meunasah asan, aceh, Indonesia
meunasah tingkeum, aceh, Indonesia
pante bayam, aceh, Indonesia
pante meureubo, aceh, Indonesia
paya deumam peut, aceh, Indonesia
paya naden, aceh, Indonesia
rambong lop, aceh, Indonesia
seuneubok pidie, aceh, Indonesia
tanjung ara, aceh, Indonesia
tanjung minjei, aceh, Indonesia
ulee ateung, aceh, Indonesia
lbskecamatan nurussalam, aceh, Indonesia
kabupaten aceh timur, aceh, Indonesia
acehgampong, aceh, Indonesia
alue siwah, aceh, Indonesia
alue siwah serdang, aceh, Indonesia
asan tanjung, aceh, Indonesia
bantayan, aceh, Indonesia
baroh bugeng, aceh, Indonesia
beurandang, aceh, Indonesia
blang panjou, aceh, Indonesia
buket meurak, aceh, Indonesia
buket panjou, aceh, Indonesia
buket panyang, aceh, Indonesia
buket teumpen, aceh, Indonesia
buket tupah, aceh, Indonesia
cot asan, aceh, Indonesia
gampong ceumpedak, aceh, Indonesia
gampong lhee, aceh, Indonesia
kampung jalan, aceh, Indonesia
kampung keude bagok, aceh, Indonesia
kampung mesjid, aceh, Indonesia
keude bagok, aceh, Indonesia
keude blang, aceh, Indonesia
keudondong, aceh, Indonesia
kuala bagok, aceh, Indonesia
matang kunyet, aceh, Indonesia
matang neuheun, aceh, Indonesia
matang panyang, aceh, Indonesia
matang seuleumak, aceh, Indonesia
meudang ara, aceh, Indonesia
meunasah hagu, aceh, Indonesia
meunasah teungoh, aceh, Indonesia
paya enye, aceh, Indonesia
paya krueb, aceh, Indonesia
peulawi, aceh, Indonesia
pulo u, aceh, Indonesia
seuleumak muda, aceh, Indonesia
seumatang aron, aceh, Indonesia
seuneubok dalam, aceh, Indonesia
seuneubok panton, aceh, Indonesia
seuneubok rambong, aceh, Indonesia
teupin pukat, aceh, Indonesia
tunong bugeng, aceh, Indonesia
tunong paya krueb, aceh, Indonesia
tunong ulee gajah, aceh, Indonesia
lbskecamatan pante bidari, aceh, Indonesia
kabupaten aceh timur, aceh, Indonesia
acehkelurahan, aceh, Indonesia
keude baro, aceh, Indonesia
gampong, aceh, Indonesia
alue ie mirah, aceh, Indonesia
blang seunong, aceh, Indonesia
buket bata, aceh, Indonesia
buket kareng, aceh, Indonesia
grong-grong, aceh, Indonesia
matang kruet, aceh, Indonesia
matang peureulak, aceh, Indonesia
matang pudeng, aceh, Indonesia
meunasah leubok, aceh, Indonesia
meunasah teungoh, aceh, Indonesia
meunasah tunong, aceh, Indonesia
pante labu, aceh, Indonesia
pante panah, aceh, Indonesia
pante rambong, aceh, Indonesia
paya deumam dua, aceh, Indonesia
paya deumam lhee, aceh, Indonesia
paya deumam satu, aceh, Indonesia
potuh satu, aceh, Indonesia
putoh dua, aceh, Indonesia
seuneubok saboh, aceh, Indonesia
seuneubok tuha, aceh, Indonesia
lbskecamatan peudawa, aceh, Indonesia
kabupaten aceh timur, aceh, Indonesia
acehgampong, aceh, Indonesia
alue batee, aceh, Indonesia
alue ie itam, aceh, Indonesia
asan rampak, aceh, Indonesia
blang buket, aceh, Indonesia
blang kuta, aceh, Indonesia
buket kuta, aceh, Indonesia
kampung keude, aceh, Indonesia
kampung kuala, aceh, Indonesia
kuta baro, aceh, Indonesia
matang rayeuk, aceh, Indonesia
meunasah krueng, aceh, Indonesia
paya bili i, aceh, Indonesia
paya bili ii, aceh, Indonesia
paya dua, aceh, Indonesia
sama dua, aceh, Indonesia
seuneubok punteut, aceh, Indonesia
seuneubok teungoh, aceh, Indonesia
lbskecamatan peureulak, aceh, Indonesia
kabupaten aceh timur, aceh, Indonesia
acehkelurahan, aceh, Indonesia
blang betra, aceh, Indonesia
keude peureulak, aceh, Indonesia
leuge, aceh, Indonesia
lhok dalam, aceh, Indonesia
gampong, aceh, Indonesia
alue dua paya gajah, aceh, Indonesia
alue nimbong, aceh, Indonesia
bale buya, aceh, Indonesia
bandrong, aceh, Indonesia
bangka rimueng, aceh, Indonesia
beusa meuranou, aceh, Indonesia
blang balok, aceh, Indonesia
blang simpo, aceh, Indonesia
buket pala, aceh, Indonesia
cek mbon, aceh, Indonesia
cot muda itam, aceh, Indonesia
dama tutong, aceh, Indonesia
keumuneng, aceh, Indonesia
kuala bugak, aceh, Indonesia
kuala leuge, aceh, Indonesia
matang gluem, aceh, Indonesia
pasir putih, aceh, Indonesia
paya kalut, aceh, Indonesia
paya lipah, aceh, Indonesia
paya meuligo, aceh, Indonesia
punti, aceh, Indonesia
seumatang muda itam, aceh, Indonesia
seuneubok aceh, aceh, Indonesia
seuneubok pempeng, aceh, Indonesia
seuneubok pidie, aceh, Indonesia
tanah rata, aceh, Indonesia
tualang, aceh, Indonesia
uteun dama, aceh, Indonesia
lbskecamatan peureulak timur, aceh, Indonesia
kabupaten aceh timur, aceh, Indonesia
acehgampong, aceh, Indonesia
alue bu alue lhok, aceh, Indonesia
alue bu alue nireh, aceh, Indonesia
alue bugeng, aceh, Indonesia
alue gurep, aceh, Indonesia
alue tho, aceh, Indonesia
babah krueng, aceh, Indonesia
buket meuriam, aceh, Indonesia
geulanggang merak, aceh, Indonesia
jeungki, aceh, Indonesia
kruet lintang, aceh, Indonesia
seumatang keude, aceh, Indonesia
seunebok dalam, aceh, Indonesia
seuneubok jalan, aceh, Indonesia
seuneubok lapang, aceh, Indonesia
seuneubok paya, aceh, Indonesia
seuneubok punti, aceh, Indonesia
seuneubok rawang, aceh, Indonesia
seuneubok teungoh, aceh, Indonesia
seuneubok teupin, aceh, Indonesia
lbskecamatan peureulak barat, aceh, Indonesia
kabupaten aceh timur, aceh, Indonesia
acehgampong, aceh, Indonesia
alue bu jalan, aceh, Indonesia
alue bu tuha, aceh, Indonesia
beuringin, aceh, Indonesia
beusa seberang, aceh, Indonesia
kabu, aceh, Indonesia
kebun teumpeun, aceh, Indonesia
mon geudong, aceh, Indonesia
